DATE,FIPS,AQI_CONC,AQI_UNITS,SITE_NAME,AQI_PARAMETER,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2018-01-01,36005,0.032,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-02,36005,0.023,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-03,36005,0.009,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-04,36005,0.027,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-05,36005,0.031,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-06,36005,0.03,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-07,36005,0.025,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-08,36005,0.006,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-09,36005,0.025,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-10,36005,0.016,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-11,36005,0.003,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-12,36005,0.019,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-13,36005,0.029,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-14,36005,0.031,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-15,36005,0.027,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-16,36005,0.008,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-17,36005,0.019,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-18,36005,0.026,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-19,36005,0.018,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-20,36005,0.03,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-21,36005,0.033,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-22,36005,0.028,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-23,36005,0.02,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-24,36005,0.029,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-25,36005,0.033,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-26,36005,0.023,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-27,36005,0.027,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-28,36005,0.017,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-29,36005,0.026,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-30,36005,0.028,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-01-31,36005,0.025,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-01,36005,0.012,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-02,36005,0.029,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-03,36005,0.025,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-04,36005,0.018,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-05,36005,0.034,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-06,36005,0.015,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-07,36005,0.031,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-08,36005,0.035,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-09,36005,0.027,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-10,36005,0.003,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-11,36005,0.008,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-12,36005,0.035,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-13,36005,0.031,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-14,36005,0.015,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-15,36005,0.003,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-16,36005,0.034,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-17,36005,0.035,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-18,36005,0.037,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-19,36005,0.029,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-20,36005,0.011,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-21,36005,0.026,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-22,36005,0.026,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-23,36005,0.022,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-24,36005,0.019,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-25,36005,0.027,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-26,36005,0.03,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-27,36005,0.035,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-02-28,36005,0.025,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-01,36005,0.04,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-02,36005,0.034,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-03,36005,0.036,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-04,36005,0.037,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-05,36005,0.031,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-06,36005,0.037,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-07,36005,0.034,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-08,36005,0.029,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-09,36005,0.03,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-10,36005,0.039,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-11,36005,0.041,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-12,36005,0.035,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-13,36005,0.035,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-14,36005,0.033,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-15,36005,0.041,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-16,36005,0.037,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-17,36005,0.041,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-18,36005,0.045,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-19,36005,0.043,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-20,36005,0.033,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-21,36005,0.034,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-22,36005,0.042,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-23,36005,0.039,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-24,36005,0.044,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-25,36005,0.038,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-26,36005,0.041,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-27,36005,0.032,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-28,36005,0.018,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-29,36005,0.014,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-30,36005,0.035,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-03-31,36005,0.04,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-01,36005,0.039,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-02,36005,0.04,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-03,36005,0.036,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-04,36005,0.041,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-05,36005,0.041,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-06,36005,0.041,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-07,36005,0.044,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-08,36005,0.041,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-09,36005,0.038,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-10,36005,0.04,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-11,36005,0.04,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-12,36005,0.04,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-13,36005,0.051,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-14,36005,0.052,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-15,36005,0.044,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-16,36005,0.042,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-17,36005,0.032,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-18,36005,0.035,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-19,36005,0.039,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-20,36005,0.04,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-21,36005,0.049,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-22,36005,0.052,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-23,36005,0.053,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-24,36005,0.053,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-25,36005,0.036,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-26,36005,0.048,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-27,36005,0.035,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-28,36005,0.053,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-29,36005,0.035,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-04-30,36005,0.037,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-05-01,36005,0.064,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-05-02,36005,0.067,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-05-03,36005,0.06,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-05-04,36005,0.052,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-05-05,36005,0.054,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-05-06,36005,0.047,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-05-07,36005,0.05,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-05-08,36005,0.054,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-05-09,36005,0.049,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-05-10,36005,0.034,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-05-11,36005,0.047,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
2018-05-12,36005,0.03,ppm,PFIZER LAB SITE,Ozone,Bronx,40.8679,-73.87809
