FIPS,Urban,Total_Population,P_WH,P_AA,P_AI,P_AS,P_NH,P_OR,P_2R,P_Latino,P_Native,P_FB,P_Citizen,P_Noncitizen,P_NoSchool,P_HS_No_Degree,P_HS_or_GED,P_Some_College,P_College_Degree,P_Masters_Prof_Doc,P_Other,P_Limited_Eng,Poverty_Rate,MED_HH_income,UE_Rate,P_UI,P_Insured,P_UI_Under_18,P_UI_18-64,P_UI_65_Over,P_Any_Private_Ins,P_Any_Public_Ins,P_Medicare_Alone,P_Medicaid_Alone,Resp_HI,Low_access,Park_distance,Walkscore,Walkscore_percentile,Tob_retailer_per_1000,felony_per_1000,GINI,SVI_themes_total,SVI_flags,serious_housing_violations_per_1000,total_housing_violations_per_1000,Voter Turnout,Turnout quartile,
36005000100,1,7703,0.1,0.63,0.002,0.02,0,0.24,0.01,0.3,0.85,0.15,0.89,0.11,0.02,0.13,0.21,0.12,0.01,0.01,0.49,-,-,-,-,-,-,-,-,-,-,-,-,-,3.174,1,X,0,0,0,955,-,0.1104,3,X,X,0.19,1,
36005000200,1,5403,0.43,0.21,0.002,0.04,0,0.28,0.04,0.76,0.66,0.34,0.88,0.12,0.03,0.05,0.32,0.19,0.22,0.03,0.15,0.25,0.2,72034,0.08,0.1,0.9,0.05,0.13,0.02,0.61,0.47,0.04,0.23,2.858,1,0.864919146,-2.9096,1,1,71,0.3903,0.7719,1,0.0234,0.0967,0.19,1,
36005000400,1,5915,0.35,0.36,0.002,0.01,0,0.26,0.02,0.63,0.78,0.22,0.92,0.08,0.01,0.01,0.24,0.22,0.29,0.09,0.15,0.08,0.13,74836,0.1,0.08,0.93,0.01,0.11,0,0.66,0.34,0.04,0.19,2.95,1,1.083607426,-2.7511,1,1,77,0.3644,0.6937,2,0.1700,0.3370,0.19,1,
36005001600,1,5879,0.39,0.37,0,0,0,0.22,0.01,0.65,0.61,0.39,0.8,0.2,0.04,0.03,0.32,0.19,0.16,0.04,0.22,0.23,0.26,32312,0.09,0.1,0.9,0.02,0.15,0.02,0.54,0.54,0.05,0.25,2.974,0,1.0243655,-2.2716,2,1,86,0.5018,0.9451,2,0.0410,0.1817,0.2,1,
36005001900,1,2591,0.19,0.34,0,0.02,0,0.4,0.05,0.55,0.76,0.24,0.83,0.17,0.03,0.03,0.26,0.24,0.2,0.06,0.18,0.16,0.37,37936,0.19,0.21,0.79,0.06,0.26,0.06,0.33,0.49,0.03,0.41,3.994,0,X,0.2115,3,1,193,0.426,0.9554,6,0.1084,0.5216,0.19,1,
36005002000,1,8516,0.31,0.41,0.019,0.03,0,0.18,0.05,0.61,0.74,0.26,0.9,0.1,0.02,0.03,0.34,0.12,0.16,0.03,0.3,0.2,0.53,18086,0.17,0.11,0.89,0.03,0.16,0.02,0.32,0.69,0.01,0.47,3.158,0,0.396163968,-2.9551,1,1,176,0.5345,0.9515,5,0.1201,0.7502,0.19,1,
36005002300,1,4774,0.18,0.41,0.02,0,0,0.36,0.03,0.62,0.83,0.17,0.94,0.06,0.03,0.04,0.31,0.16,0.06,0.01,0.39,0.32,0.54,14479,0.19,0.09,0.92,0.02,0.14,0,0.23,0.81,0.04,0.53,4.009,0,0.97427383,2.2933,5,0,83,0.4857,0.993,10,0.0000,0.0088,0.18,1,
36005002400,1,150,0.52,0.48,0,0,0,0,0,0,0.52,0.48,0.52,0.48,0,0,0,0.36,0.27,0.37,0,0,0,-,0,0.2,0.8,0,0.27,-,0.28,0.52,0,0.52,2.193,1,X,-2.0775,2,0,1,-,X,X,X,X,0.19,1,
36005002500,1,5355,0.23,0.22,0,0.04,0,0.48,0.03,0.76,0.7,0.3,0.78,0.22,0.03,0.03,0.29,0.17,0.08,0.03,0.37,0.33,0.51,17226,0.09,0.17,0.83,0.04,0.26,0.06,0.26,0.62,0.02,0.47,3.762,0,0.847746327,1.0111,4,3,127,0.4936,0.9631,9,0.7443,3.7011,0.18,1,
36005002701,1,3016,0.17,0.38,0,0,0,0.44,0.02,0.68,0.74,0.26,0.82,0.18,0.07,0.02,0.31,0.16,0.1,0.03,0.31,0.36,0.53,20153,0.15,0.16,0.85,0.05,0.23,0,0.24,0.66,0.01,0.54,3.928,0,0.844366015,0.1673,3,1,73,0.4527,0.9693,10,0.0498,0.3546,0.18,1,
36005002702,1,4778,0.16,0.32,0.011,0,0,0.48,0.03,0.71,0.73,0.27,0.8,0.2,0.07,0.03,0.2,0.17,0.12,0,0.41,0.3,0.53,17147,0.11,0.25,0.75,0.13,0.36,0,0.24,0.56,0.03,0.4,3.633,0,0.541033667,0.7429,4,3,111,0.4547,0.9893,10,0.1553,0.8850,0.18,1,
36005002800,1,5299,0.03,0.76,0,0.02,0,0.1,0.09,0.23,0.87,0.13,0.95,0.05,0.01,0.02,0.31,0.19,0.29,0.05,0.12,0.07,0.09,49529,0.13,0.07,0.93,0,0.11,0.02,0.68,0.36,0.05,0.14,3.668,0,0.765252534,-1.1216,2,1,100,0.3654,0.8208,2,0.0791,0.6740,0.19,1,
36005003100,1,1466,0.17,0.3,0,0.02,0,0.47,0.04,0.72,0.58,0.42,0.67,0.33,0.06,0.07,0.22,0.15,0.15,0,0.35,0.41,0.18,37250,0.07,0.23,0.77,0.19,0.29,0,0.4,0.43,0.04,0.29,3.471,0,0.660268603,1.5239,4,3,43,0.3947,0.8395,7,0.0791,0.5099,0.18,1,
36005003300,1,3912,0.15,0.41,0.017,0,0,0.4,0.02,0.66,0.71,0.29,0.84,0.16,0.09,0.05,0.24,0.12,0.15,0.02,0.32,0.25,0.56,19923,0.19,0.11,0.89,0.03,0.17,0.04,0.22,0.74,0.03,0.61,3.49,0,0.292214867,2.2416,5,1,111,0.4686,0.9703,9,0.3868,1.5736,0.18,1,
36005003500,1,3948,0.1,0.3,0.005,0,0,0.55,0.04,0.73,0.7,0.3,0.83,0.17,0.03,0.02,0.27,0.12,0.11,0.01,0.44,0.29,0.36,26541,0.12,0.18,0.82,0.07,0.26,0.03,0.26,0.6,0.02,0.45,3.502,0,0.274502476,2.6735,5,2,132,0.4514,0.981,6,0.2403,0.9670,0.18,1,
36005003700,1,246,0.38,0.18,0,0,0,0.44,0,0.58,0.8,0.2,0.93,0.07,0.08,0.02,0.39,0.13,0.11,0.03,0.24,0.09,0.44,,0.11,0.03,0.97,0,0.04,0,0.42,0.57,0.07,0.42,3.328,0,0.006655112,3.8081,5,4,36,0.4664,0.7498,5,0.0176,0.1465,0.18,1,
36005003800,1,1193,0.32,0.46,0,0.02,0,0.2,0.01,0.53,0.79,0.21,0.93,0.07,0.09,0.04,0.26,0.24,0.15,0.06,0.17,0.05,0.31,37685,0.13,0.09,0.91,0.02,0.13,0,0.56,0.43,0.07,0.27,3.11,0,0.822688396,-2.3769,1,0,18,0.5504,0.861,2,0.0147,0.0733,0.2,1,
36005003900,1,6614,0.19,0.2,0.011,0,0,0.61,0,0.82,0.59,0.41,0.69,0.31,0.08,0.03,0.27,0.1,0.15,0.02,0.36,0.45,0.3,25990,0.09,0.33,0.67,0.04,0.51,0,0.28,0.49,0.03,0.33,3.698,0,0.753636825,2.8334,5,3,422,0.5188,0.9757,7,0.5245,2.2828,0.18,1,
36005004001,1,1419,0.27,0.12,0,0.22,0,0.36,0.04,0.51,0.64,0.36,0.87,0.13,0.07,0.01,0.29,0.19,0.22,0.02,0.19,0.1,0.17,48056,0.07,0.12,0.88,0.03,0.18,0,0.59,0.42,0.05,0.19,3.107,0,1.619813201,-0.2601,3,0,26,0.3862,0.7941,1,0.0234,0.0850,0.2,1,
36005004100,1,6476,0.17,0.32,0,0,0,0.47,0.03,0.76,0.8,0.2,0.9,0.1,0.05,0.02,0.28,0.13,0.12,0.02,0.38,0.34,0.53,18636,0.19,0.11,0.89,0.05,0.16,0,0.32,0.67,0.02,0.49,3.711,0,0.59283361,3.6158,5,1,215,0.4986,0.9907,10,0.1963,0.9729,0.18,1,
36005004200,1,7120,0.27,0.53,0.012,0.02,0,0.15,0.02,0.46,0.83,0.17,0.94,0.06,0.04,0.03,0.35,0.19,0.17,0.02,0.2,0.12,0.41,25741,0.21,0.08,0.92,0.07,0.1,0,0.42,0.62,0.04,0.39,3.445,0,X,-1.7594,2,1,181,0.4075,0.9243,7,0.0176,0.2139,0.2,1,
36005004300,1,6057,0.13,0.3,0.016,0,0.001,0.53,0.03,0.74,0.74,0.26,0.82,0.18,0.04,0.02,0.28,0.16,0.11,0.01,0.37,0.27,0.47,21448,0.16,0.15,0.85,0.03,0.24,0.02,0.29,0.6,0.01,0.46,3.634,0,0.332241184,3.8399,5,3,253,0.4991,0.9697,8,0.6212,1.9253,0.18,1,
36005004400,1,4754,0.14,0.42,0.003,0.02,0,0.38,0.04,0.61,0.82,0.18,0.92,0.08,0.05,0.04,0.24,0.18,0.13,0.02,0.33,0.17,0.35,22719,0.26,0.14,0.86,0.06,0.21,0,0.4,0.59,0.03,0.34,3.343,0,1.36581546,-1.2187,2,1,92,0.4299,0.992,7,0.0176,0.0850,0.2,1,
36005004600,1,1869,0.31,0.41,0.004,0,0,0.26,0.03,0.6,0.88,0.12,0.94,0.06,0.02,0.03,0.22,0.28,0.18,0.07,0.19,0.12,0.26,40950,0.13,0.06,0.94,0.01,0.1,0.02,0.42,0.68,0.03,0.39,3.415,0,0.77977625,-2.381,1,3,145,0.4629,0.8692,2,0.0234,0.2198,0.19,1,
36005004800,1,3999,0.11,0.28,0.004,0.02,0,0.53,0.06,0.72,0.51,0.49,0.58,0.42,0.07,0.05,0.22,0.17,0.12,0.02,0.35,0.31,0.33,30301,0.14,0.26,0.74,0.04,0.36,0,0.24,0.58,0.03,0.44,3.52,0,1.134050625,0.4495,3,1,121,0.425,0.9532,6,0.9172,4.1729,0.19,1,
36005005001,1,4885,0.12,0.4,0,0,0,0.37,0.11,0.58,0.63,0.37,0.72,0.28,0.04,0.02,0.26,0.15,0.12,0.03,0.37,0.16,0.34,27456,0.15,0.18,0.82,0.05,0.25,0.13,0.43,0.59,0.02,0.35,3.498,0,X,-0.9758,2,1,74,0.4944,0.9932,7,0.7971,3.9033,0.19,1,
36005005002,1,5650,0.15,0.2,0.026,0,0,0.55,0.07,0.73,0.42,0.58,0.56,0.44,0.05,0.03,0.22,0.16,0.13,0.02,0.39,0.4,0.46,28039,0.13,0.33,0.68,0.15,0.42,0,0.26,0.5,0.02,0.37,3.43,0,X,1.7818,4,2,87,0.4491,0.9641,7,0.7854,4.0059,0.19,1,
36005005100,1,5653,0.11,0.38,0.021,0,0,0.48,0.01,0.7,0.78,0.22,0.88,0.12,0.06,0.03,0.28,0.18,0.11,0.01,0.34,0.18,0.49,18633,0.23,0.1,0.9,0.02,0.15,0,0.29,0.69,0.02,0.52,3.942,0,X,3.4817,5,2,306,0.4647,0.9938,10,0.0410,0.1993,0.18,1,
36005005200,1,2277,0.21,0.28,0.009,0.03,0,0.42,0.06,0.7,0.68,0.32,0.87,0.13,0.05,0.05,0.3,0.2,0.08,0.02,0.3,0.2,0.49,17756,0.14,0.13,0.87,0,0.21,0,0.37,0.61,0.05,0.38,3.238,0,1.158401463,1.0581,4,3,71,0.598,0.9926,6,0.1495,0.5890,0.19,1,
36005005300,1,3727,0.08,0.53,0.017,0,0,0.31,0.05,0.44,0.79,0.21,0.86,0.14,0.02,0.04,0.23,0.14,0.23,0.05,0.29,0.2,0.55,17719,0.24,0.11,0.9,0.07,0.13,0,0.24,0.7,0.01,0.58,5.138,0,X,1.7834,4,1,107,0.4424,0.9542,8,0.0703,0.5158,0.2,1,
36005005400,1,6219,0.18,0.26,0.002,0.02,0,0.44,0.09,0.72,0.53,0.47,0.66,0.34,0.05,0.03,0.31,0.16,0.11,0.01,0.34,0.24,0.42,27380,0.09,0.27,0.73,0.03,0.39,0.05,0.28,0.52,0.03,0.38,3.092,0,1.178590563,2.5481,5,2,192,0.4775,0.9117,5,0.6886,3.0769,0.19,1,
36005005600,1,2468,0.15,0.29,0,0.02,0,0.48,0.07,0.66,0.6,0.4,0.77,0.23,0.03,0.06,0.35,0.14,0.11,0,0.32,0.31,0.38,17771,0.17,0.14,0.87,0.01,0.25,0,0.35,0.66,0.02,0.36,3.097,0,1.144099272,3.3816,5,2,77,0.531,0.9948,5,0.2491,1.0344,0.19,1,
36005005902,1,3131,0.1,0.32,0.026,0.01,0,0.47,0.07,0.7,0.58,0.42,0.78,0.22,0.03,0.03,0.22,0.2,0.14,0.09,0.29,0.24,0.27,38542,0.14,0.15,0.85,0.02,0.21,0,0.36,0.56,0.03,0.42,3.914,0,0.256203705,2.8605,5,1,29,0.459,0.8791,4,0.4923,2.5026,0.18,1,
36005006000,1,1256,0.13,0.22,0,0.02,0,0.63,0,0.69,0.6,0.4,0.76,0.24,0.05,0.03,0.27,0.16,0.26,0.04,0.19,0.1,0.35,41190,0.11,0.13,0.87,0,0.18,0.09,0.45,0.56,0.02,0.34,3.418,0,1.109495466,3.1388,5,2,62,0.4616,0.8032,2,0.0498,0.3223,0.2,1,
36005006100,1,3706,0.05,0.79,0,0,0,0.11,0.04,0.17,0.84,0.16,0.98,0.02,0.02,0.03,0.26,0.2,0.3,0.13,0.06,0.05,0.1,48298,0.08,0.1,0.9,0.08,0.15,0,0.73,0.38,0.02,0.09,3.748,0,0.438476465,4.4486,5,1,64,0.3568,0.6588,3,0.0147,0.2403,0.18,1,
36005006200,1,7610,0.11,0.42,0.007,0,0,0.42,0.04,0.7,0.67,0.33,0.77,0.23,0.11,0.03,0.23,0.14,0.07,0.02,0.39,0.28,0.35,24480,0.11,0.19,0.81,0,0.29,0.08,0.31,0.61,0.01,0.44,3.502,0,1.280536615,2.8437,5,1,162,0.4628,0.9701,7,0.2022,1.0960,0.2,1,
36005006300,1,4431,0.26,0.26,0.009,0.05,0,0.39,0.03,0.69,0.59,0.41,0.75,0.25,0.02,0.04,0.26,0.16,0.23,0.04,0.25,0.26,0.28,32064,0.13,0.15,0.85,0,0.21,0,0.37,0.55,0.03,0.4,3.75,0,X,3.4099,5,5,448,0.4666,0.9612,6,0.8088,4.1378,0.18,1,
36005006400,1,3590,0.28,0.36,0.008,0.02,0,0.28,0.05,0.55,0.76,0.24,0.92,0.08,0.02,0.03,0.33,0.17,0.25,0.01,0.19,0.13,0.41,30726,0.12,0.18,0.83,0.04,0.28,0,0.41,0.53,0.04,0.33,3.95,0,1.375206355,2.9146,5,1,86,0.4866,0.9645,2,0.2315,1.1077,0.2,1,
36005006500,1,5487,0.15,0.34,0,0.02,0,0.5,0,0.61,0.69,0.31,0.77,0.23,0.02,0.02,0.39,0.17,0.14,0.02,0.24,0.26,0.44,21384,0.12,0.18,0.82,0.03,0.27,0,0.26,0.6,0.03,0.47,3.697,0,0.647784214,3.9317,5,4,553,0.4892,0.9732,8,0.3985,1.7846,0.18,1,
36005006700,1,7421,0.12,0.32,0.005,0,0.006,0.52,0.02,0.66,0.63,0.37,0.74,0.26,0.05,0.02,0.24,0.11,0.07,0.01,0.5,0.36,0.47,21016,0.15,0.22,0.78,0,0.36,0.12,0.19,0.62,0.03,0.52,3.616,0,0.681372554,3.5154,5,3,267,0.6243,0.9829,10,0.5685,2.4528,0.18,1,
36005006800,1,3288,0.12,0.33,0,0.04,0,0.39,0.12,0.59,0.55,0.45,0.74,0.26,0.07,0.02,0.31,0.23,0.2,0.01,0.17,0.18,0.23,47232,0.13,0.24,0.76,0.07,0.37,0.06,0.45,0.39,0.03,0.26,3.653,0,1.36651743,1.5209,4,2,90,0.4035,0.8667,2,0.6066,1.8579,0.2,1,
36005006900,1,8554,0.11,0.4,0.008,0.01,0,0.45,0.02,0.59,0.7,0.3,0.84,0.16,0.05,0.02,0.2,0.16,0.18,0.07,0.33,0.33,0.44,19741,0.17,0.11,0.89,0.01,0.18,0,0.27,0.66,0.01,0.52,3.564,0,0.698519657,2.9885,5,2,207,0.5293,0.9998,10,0.1788,0.9114,0.18,1,
36005007000,1,4568,0.23,0.27,0.007,0.07,0,0.42,0,0.64,0.62,0.38,0.76,0.24,0.01,0.05,0.29,0.16,0.14,0.02,0.32,0.18,0.3,34191,0.12,0.14,0.86,0.01,0.22,0.04,0.38,0.6,0.03,0.4,3.163,0,1.554113751,0.4336,3,1,87,0.4451,0.9396,7,0.1495,0.8264,0.2,1,
36005007100,1,2547,0.09,0.44,0.002,0.01,0,0.43,0.03,0.61,0.84,0.16,0.95,0.05,0.02,0.02,0.28,0.19,0.23,0.05,0.21,0.13,0.29,38289,0.17,0.11,0.89,0.03,0.14,0.09,0.44,0.53,0.04,0.38,3.293,0,0.855578601,3.2714,5,1,259,0.4362,0.9377,3,0.0527,0.2256,0.18,1,
36005007200,1,5822,0.18,0.19,0.002,0.22,0,0.3,0.1,0.5,0.54,0.46,0.71,0.29,0.06,0.04,0.26,0.13,0.2,0.09,0.23,0.17,0.33,37634,0.07,0.16,0.84,0.02,0.26,0.01,0.45,0.52,0.03,0.31,3.349,0,1.659962379,0.0742,3,2,97,0.4455,0.8711,3,0.4952,2.5465,0.2,1,
36005007300,1,3761,0.08,0.37,0.001,0,0.008,0.54,0.01,0.63,0.67,0.33,0.74,0.26,0.03,0.06,0.24,0.17,0.13,0,0.36,0.32,0.51,18358,0.2,0.19,0.81,0.01,0.31,0,0.23,0.63,0.02,0.5,3.477,0,0.431533586,3.734,5,2,188,0.4714,0.9909,10,0.1465,0.9553,0.18,1,
36005007400,1,3635,0.3,0.27,0,0,0,0.41,0.01,0.73,0.81,0.19,0.95,0.05,0.06,0.03,0.29,0.21,0.21,0.07,0.12,0.06,0.19,44455,0.07,0.08,0.92,0,0.12,0,0.59,0.41,0.05,0.22,3.008,0,1.161557639,-2.2606,2,0,70,0.4269,0.8426,1,0.0557,0.2637,0.2,1,
36005007500,1,5599,0.09,0.46,0.009,0,0,0.41,0.03,0.59,0.82,0.18,0.91,0.09,0.04,0.03,0.27,0.22,0.16,0.03,0.25,0.13,0.32,25452,0.09,0.1,0.9,0.02,0.16,0.09,0.36,0.58,0.04,0.43,3.426,0,0.808056834,3.1508,5,1,192,0.4509,0.9763,7,0.1729,1.1575,0.19,1,
36005007600,1,5587,0.23,0.25,0.021,0.09,0,0.36,0.06,0.64,0.59,0.41,0.74,0.26,0.03,0.04,0.25,0.19,0.12,0.04,0.32,0.22,0.35,33465,0.09,0.24,0.77,0.1,0.33,0.03,0.35,0.53,0.01,0.37,3.621,0,X,2.4215,5,2,153,0.4654,0.8335,4,0.4044,1.9575,0.2,1,
36005007700,1,1933,0.14,0.27,0.004,0,0,0.57,0.02,0.71,0.68,0.32,0.83,0.17,0.05,0,0.3,0.2,0.15,0.04,0.26,0.17,0.38,26486,0.14,0.1,0.91,0.02,0.14,0,0.37,0.62,0.03,0.44,3.38,0,1.104693797,2.8619,5,4,120,0.4595,0.9627,6,0.0674,0.5421,0.19,1,
36005007800,1,6518,0.22,0.21,0,0.12,0,0.43,0.03,0.66,0.64,0.36,0.82,0.18,0.05,0.03,0.31,0.16,0.18,0.02,0.25,0.21,0.31,30437,0.16,0.2,0.8,0.06,0.29,0,0.44,0.46,0.03,0.29,3.555,0,1.694738893,-0.0316,3,2,121,0.4963,0.928,7,0.3751,1.9605,0.2,1,
36005007900,1,6420,0.15,0.26,0,0,0,0.58,0.02,0.78,0.7,0.3,0.79,0.21,0.05,0.03,0.3,0.1,0.12,0.02,0.39,0.38,0.45,24278,0.14,0.15,0.85,0,0.25,0.05,0.26,0.66,0.03,0.48,3.463,0,0.913669871,2.8934,5,2,228,0.5131,0.9899,11,0.3663,1.9224,0.18,1,
36005008300,1,6882,0.09,0.24,0.001,0.04,0.001,0.6,0.03,0.79,0.61,0.39,0.77,0.23,0.08,0.07,0.21,0.15,0.13,0.03,0.33,0.43,0.42,19818,0.14,0.13,0.87,0.01,0.2,0.05,0.26,0.65,0.01,0.52,3.498,0,1.125839251,1.9334,4,2,148,0.5293,0.9637,9,0.5773,2.8806,0.18,1,
36005008400,1,2289,0.27,0.4,0.013,0.03,0,0.25,0.03,0.61,0.77,0.23,0.93,0.07,0.03,0.02,0.23,0.25,0.25,0.08,0.15,0.09,0.14,60135,0.1,0.12,0.88,0.09,0.14,0.02,0.61,0.39,0.06,0.18,3.086,0,0.990709552,-2.9061,1,0,12,0.435,0.6227,1,0.1084,0.2843,0.2,1,
36005008500,1,5959,0.1,0.23,0,0.01,0.001,0.64,0.02,0.77,0.63,0.37,0.75,0.25,0.03,0.03,0.2,0.17,0.14,0.04,0.39,0.24,0.39,27174,0.15,0.22,0.78,0.05,0.33,0,0.27,0.54,0.02,0.41,3.414,0,1.315972422,2.1677,5,2,140,0.452,0.9992,7,0.2462,1.4154,0.19,1,
36005008600,1,3874,0.32,0.28,0,0.05,0,0.31,0.04,0.69,0.76,0.24,0.91,0.09,0.05,0.06,0.3,0.15,0.12,0.03,0.3,0.23,0.39,23045,0.09,0.13,0.87,0,0.21,0,0.39,0.66,0.04,0.36,3.091,0,1.124356618,-2.1995,2,0,82,0.4806,0.9433,7,0.0029,0.0029,0.2,1,
36005008700,1,6002,0.15,0.26,0.004,0,0,0.57,0.02,0.77,0.61,0.39,0.78,0.22,0.09,0.02,0.24,0.2,0.16,0.02,0.26,0.26,0.3,29188,0.08,0.18,0.82,0.08,0.25,0,0.34,0.53,0.02,0.39,3.332,0,1.299556995,2.2128,5,1,207,0.4634,0.9798,7,0.4952,2.6462,0.19,1,
36005008900,1,3438,0.13,0.29,0.005,0.01,0,0.55,0.01,0.8,0.68,0.32,0.8,0.2,0.07,0.04,0.25,0.14,0.11,0.01,0.39,0.32,0.33,20849,0.07,0.19,0.81,0.05,0.31,0,0.22,0.64,0.01,0.47,3.488,0,1.301688048,1.8102,4,2,121,0.4796,0.9928,11,0.0850,0.5480,0.19,1,
36005009000,1,3476,0.38,0.33,0,0.05,0,0.22,0.01,0.66,0.78,0.22,0.91,0.09,0.03,0.02,0.29,0.19,0.18,0.04,0.25,0.17,0.37,27000,0.15,0.1,0.9,0,0.15,0.03,0.52,0.54,0.03,0.28,2.755,0,X,-1.444,2,2,140,0.5971,0.8835,2,0.0088,0.0205,0.2,1,
36005009200,1,5622,0.17,0.15,0.001,0.18,0,0.46,0.05,0.61,0.63,0.37,0.81,0.19,0.03,0.02,0.3,0.19,0.21,0.05,0.2,0.19,0.21,35227,0.19,0.11,0.89,0,0.17,0,0.47,0.49,0.03,0.36,3.384,0,1.794718408,0.3296,3,2,85,0.501,0.8705,2,0.1201,0.7795,0.2,1,
36005009300,1,6517,0.18,0.28,0.004,0,0,0.51,0.03,0.73,0.64,0.36,0.76,0.24,0.07,0.04,0.27,0.16,0.17,0.03,0.25,0.24,0.41,30159,0.1,0.19,0.81,0.02,0.26,0.24,0.26,0.6,0.02,0.47,3.13,1,X,-0.2643,3,2,303,0.4511,0.9674,7,0.5509,2.9802,0.19,1,
36005009600,1,2562,0.21,0.22,0.005,0.15,0,0.4,0.02,0.57,0.64,0.36,0.84,0.16,0.05,0.03,0.24,0.18,0.23,0.06,0.22,0.16,0.16,41250,0.17,0.12,0.88,0.06,0.15,0.05,0.51,0.48,0.01,0.29,3.066,0,X,0.8614,4,2,74,0.4496,0.9946,4,0.0967,0.2784,0.2,1,
36005009800,1,5041,0.37,0.3,0,0.03,0,0.28,0.02,0.7,0.79,0.21,0.91,0.09,0.04,0.01,0.33,0.2,0.23,0.08,0.11,0.08,0.23,57438,0.13,0.08,0.92,0.05,0.11,0,0.63,0.42,0.05,0.21,3.465,0,1.361484882,-1.3419,2,1,82,0.4248,0.8218,0,0.0498,0.2755,0.2,1,
36005011000,1,153,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0.16,0.21,0.5,0,0.14,0.26,0.21,,0.13,0,1,0,0,-,0.8,0.3,0,0.2,2.878,1,0.951561559,-2.7639,2,0,16,0.3533,0.1192,1,0.0059,0.0176,0.29,3,
