FIPS,Urban,Total_Population,P_WH,P_AA,P_AI,P_AS,P_NH,P_OR,P_2R,P_Latino,P_Native,P_FB,P_Citizen,P_Noncitizen,P_NoSchool,P_HS_No_Degree,P_HS_or_GED,P_Some_College,P_College_Degree,P_Masters_Prof_Doc,P_Other,P_Limited_Eng,Poverty_Rate,MED_HH_income,UE_Rate,P_UI,P_Insured,P_UI_Under_18,P_UI_18-64,P_UI_65_Over,P_Any_Private_Ins,P_Any_Public_Ins,P_Medicare_Alone,P_Medicaid_Alone,Resp_HI,Low_access,Park_distance,Walkscore,Walkscore_percentile,Tob_retailer_per_1000,felony_per_1000,GINI,SVI_themes_total,SVI_flags,serious_housing_violations_per_1000,total_housing_violations_per_1000,Voter Turnout,Turnout quartile,
36047050300,1,2408,0.79,0.00,0.053,0.06,0.000,0.09,0.00,0.16,0.76,0.24,0.86,0.14,0.02,0.01,0.17,0.13,0.48,0.11,0.07,0.10,0.10,79453,0.04,0.11,0.89,0.00,0.13,0.00,0.80,0.16,0.03,0.03,3.44,0,0.756165851,4.512,5,1,27,0.4555,0.5827,0,0.0396,0.2836,0.18,1,
36047050400,1,4515,0.60,0.13,0.002,0.11,0.000,0.12,0.04,0.20,0.65,0.35,0.90,0.10,0.02,0.02,0.16,0.15,0.35,0.27,0.04,0.12,0.13,82935,0.06,0.04,0.96,0.00,0.06,0.00,0.71,0.30,0.04,0.18,8.068,0,1.726311679,-0.6889,3,1,14,0.4767,0.3259,0,0.0280,0.2325,0.31,4,
36047050500,1,4396,0.42,0.23,0.019,0.12,0.000,0.17,0.05,0.50,0.77,0.23,0.92,0.08,0.04,0.03,0.20,0.09,0.32,0.07,0.24,0.25,0.33,30893,0.12,0.10,0.90,0.09,0.13,0.00,0.47,0.49,0.09,0.27,3.337,0,1.007635088,4.7984,5,1,24,0.4877,0.9146,4,0.0330,0.2325,0.18,1,
36047050600,1,5616,0.24,0.44,0.001,0.09,0.000,0.21,0.02,0.35,0.51,0.49,0.78,0.22,0.05,0.03,0.25,0.12,0.22,0.10,0.24,0.20,0.26,47993,0.08,0.20,0.80,0.09,0.27,0.00,0.44,0.41,0.03,0.30,6.573,0,1.48339022,0.7109,4,1,19,0.4199,0.9241,2,0.2506,1.2070,0.24,3,
36047050700,1,2523,0.79,0.08,0.000,0.02,0.000,0.10,0.01,0.18,0.85,0.15,0.95,0.05,0.01,0.07,0.45,0.15,0.16,0.03,0.14,0.12,0.47,31844,0.14,0.05,0.95,0.00,0.12,0.00,0.30,0.78,0.00,0.63,3.188,0,1.26989211,3.5133,5,2,29,0.4729,0.8247,5,0.0264,0.2028,0.18,1,
36047050801,1,4240,0.14,0.72,0.000,0.01,0.000,0.13,0.01,0.22,0.42,0.58,0.74,0.26,0.02,0.07,0.36,0.15,0.17,0.06,0.17,0.14,0.24,45455,0.08,0.23,0.77,0.02,0.32,0.06,0.43,0.39,0.04,0.25,7.513,0,X,0.4578,3,1,13,0.4318,0.8661,2,0.2638,1.3042,0.24,3,
36047050803,1,2338,0.24,0.58,0.000,0.03,0.005,0.14,0.01,0.19,0.58,0.42,0.79,0.21,0.04,0.03,0.20,0.19,0.22,0.14,0.19,0.10,0.17,41463,0.09,0.18,0.82,0.03,0.22,0.06,0.51,0.35,0.04,0.22,5.938,0,X,0.0472,3,3,24,0.3924,0.908,3,0.0907,0.6216,0.25,3,
36047050804,1,6144,0.23,0.48,0.000,0.01,0.000,0.24,0.04,0.34,0.63,0.37,0.82,0.18,0.04,0.02,0.31,0.12,0.21,0.11,0.19,0.15,0.11,50265,0.08,0.18,0.82,0.03,0.24,0.00,0.45,0.42,0.03,0.30,8.023,0,X,-0.0135,3,0,12,0.3798,0.7312,2,0.1352,0.8541,0.25,3,
36047050900,1,4488,0.91,0.03,0.001,0.00,0.002,0.04,0.01,0.05,0.93,0.07,0.96,0.04,0.03,0.15,0.44,0.12,0.04,0.02,0.20,0.11,0.59,31650,0.03,0.04,0.96,0.01,0.09,0.00,0.28,0.73,0.00,0.67,3.333,0,1.263959952,4.001,5,1,6,0.5923,0.7694,5,0.0148,0.1138,0.18,1,
36047051001,1,4498,0.17,0.72,0.003,0.02,0.000,0.07,0.01,0.17,0.57,0.43,0.81,0.19,0.03,0.05,0.31,0.11,0.29,0.05,0.16,0.10,0.11,49896,0.14,0.13,0.88,0.00,0.17,0.03,0.52,0.38,0.03,0.29,3.998,0,X,1.28,4,0,18,0.411,0.7589,4,0.3496,1.7775,0.24,3,
36047051002,1,4841,0.16,0.66,0.000,0.03,0.000,0.13,0.02,0.21,0.52,0.48,0.81,0.19,0.03,0.03,0.28,0.17,0.27,0.08,0.14,0.18,0.17,50484,0.11,0.15,0.86,0.03,0.20,0.06,0.53,0.38,0.03,0.26,4.338,0,X,1.0887,4,1,13,0.3924,0.791,3,0.2143,0.9019,0.24,3,
36047051100,1,3890,0.54,0.12,0.000,0.21,0.000,0.09,0.03,0.38,0.63,0.37,0.80,0.20,0.08,0.02,0.23,0.12,0.25,0.13,0.17,0.23,0.23,33953,0.11,0.09,0.91,0.00,0.12,0.00,0.55,0.41,0.05,0.21,3.544,0,1.109655564,5.0569,5,1,19,0.5304,0.8255,2,0.0791,0.5837,0.18,1,
36047051200,1,5759,0.14,0.58,0.000,0.02,0.000,0.18,0.09,0.25,0.64,0.36,0.81,0.19,0.01,0.03,0.32,0.11,0.30,0.10,0.13,0.14,0.19,40180,0.10,0.15,0.85,0.00,0.22,0.05,0.47,0.43,0.04,0.30,3.92,0,1.621389,0.9377,4,0,12,0.4838,0.7483,2,0.2539,1.4807,0.24,3,
36047051300,1,4756,0.73,0.04,0.000,0.07,0.000,0.14,0.02,0.40,0.67,0.33,0.79,0.21,0.02,0.01,0.14,0.16,0.35,0.19,0.13,0.08,0.15,67852,0.03,0.18,0.82,0.07,0.21,0.00,0.57,0.29,0.01,0.16,3.86,0,0.842115746,4.4828,5,3,21,0.413,0.4963,0,0.0478,0.2391,0.18,1,
36047051400,1,7717,0.18,0.47,0.011,0.10,0.000,0.18,0.06,0.28,0.61,0.39,0.81,0.19,0.01,0.02,0.31,0.13,0.28,0.09,0.17,0.11,0.20,45453,0.09,0.13,0.87,0.04,0.19,0.05,0.46,0.46,0.02,0.35,3.354,0,1.815138762,0.8936,4,0,13,0.4401,0.8474,2,0.2902,1.5977,0.24,3,
36047051500,1,1626,0.69,0.07,0.000,0.08,0.000,0.14,0.02,0.19,0.80,0.20,0.87,0.13,0.01,0.00,0.05,0.08,0.57,0.25,0.04,0.04,0.04,112450,0.02,0.09,0.91,0.03,0.10,0.00,0.86,0.09,0.01,0.03,3.57,0,0.279797245,3.434,5,1,26,0.4732,0.2933,0,0.0082,0.0561,0.18,1,
36047051601,1,5533,0.07,0.72,0.000,0.04,0.000,0.15,0.01,0.24,0.55,0.45,0.76,0.24,0.02,0.05,0.30,0.16,0.25,0.06,0.17,0.16,0.18,42220,0.07,0.17,0.83,0.01,0.26,0.00,0.44,0.43,0.04,0.29,3.415,0,X,1.2481,4,1,12,0.3897,0.9381,3,0.3001,1.5499,0.24,3,
36047051602,1,4262,0.07,0.77,0.000,0.02,0.000,0.10,0.04,0.17,0.52,0.48,0.77,0.23,0.03,0.05,0.36,0.17,0.19,0.10,0.10,0.10,0.16,49321,0.10,0.16,0.84,0.06,0.23,0.00,0.40,0.48,0.05,0.31,3.45,0,X,1.2016,4,1,8,0.4003,0.9344,3,0.2028,1.3125,0.24,3,
36047051700,1,2107,0.78,0.06,0.000,0.14,0.000,0.01,0.01,0.09,0.68,0.32,0.78,0.22,0.00,0.01,0.07,0.14,0.50,0.26,0.03,0.09,0.09,93188,0.04,0.09,0.91,0.00,0.10,0.00,0.83,0.11,0.05,0.03,3.4,0,0.295944239,2.8122,5,2,26,0.474,0.0689,0,0.0082,0.0528,0.18,1,
